Percent on Homework,Percent on Exams,,Percent on Final Exam Only
37.61,93.26388889,,98.89
82.2,87.23611111,,91.11
91.1,92.19444444,,97.78
92.15,94.95833333,,96.67
89.18,97.26388889,,98.89
90.49,87.11111111,,94.44
97.38,98.94444444,,97.78
93.54,85.27777778,,87.78
90.14,88.16666667,,90
87.17,83.20833333,,90
60.3,90.47222222,,95.56
92.45,93.73611111,,97.78
46.29,88.30555556,,88.89
96.68,88.69444444,,91.11
96.68,97.36111111,,97.78
74.52,84.69444444,,87.78
64.83,82.72222222,,75.56
68.63,74.27777778,,77.78
92.06,86.44444444,,87.78
93.67,96.83333333,,93.33
94.07,92.43055556,,98.89
96.73,96.26388889,,98.89
49.91,56.58333333,,50
76.22,95.56944444,,97.78
79,82.90277778,,81.11
94.85,75.79166667,,83.33
88.14,80.625,,90
92.93,95.61111111,,94.44
86.21,82.5,,83.33
92.41,87.94444444,,94.44
99.74,98.5,,100
74.04,90.63888889,,92.22
85.6,79.95833333,,90
94.28,96.63888889,,95.56
86.56,86.56944444,,84.44
93.06,91.40277778,,94.44
93.98,98.25,,100
84.73,74.94444444,,81.11
95.94,94.19444444,,87.78
91.27,97.54166667,,100
90.75,87.06944444,,77.78
95.9,92.77777778,,97.78
94.5,88.06944444,,87.78
